单词：to 次数：644
单词：of 次数：562
单词：you 次数：493
单词：i 次数：483
单词：a 次数：446
单词：my 次数：435
单词：in 次数：373
单词：it 次数：336
单词：that 次数：327
单词：hamlet 次数：322
单词：is 次数：276
单词：lord 次数：268
单词：not 次数：262
单词：his 次数：238
单词：this 次数：232
单词：with 次数：230
单词：but 次数：224
单词：your 次数：209
单词：for 次数：207
单词：s 次数：189
单词：as 次数：187
单词：me 次数：186
单词：what 次数：183
单词：be 次数：183
单词：he 次数：182
单词：so 次数：170
单词：king 次数：165
单词：him 次数：156
单词：d 次数：152
单词：have 次数：147
单词：do 次数：137
单词：we 次数：135
单词：will 次数：132
单词：o 次数：131
单词：polonius 次数：123
单词：no 次数：114
单词：are 次数：110
单词：all 次数：109
单词：horatio 次数：105
单词：our 次数：103
单词：on 次数：103
单词：by 次数：102
单词：claudius 次数：99
单词：queen 次数：97
单词：or 次数：97
单词：shall 次数：96
单词：good 次数：91
单词：if 次数：90
单词：they 次数：87
单词：let 次数：81
单词：gertrude 次数：80
单词：come 次数：80
单词：ophelia 次数：79
单词：thou 次数：79
单词：there 次数：78
单词：like 次数：78
单词：at 次数：77
单词：from 次数：76
单词：more 次数：74
单词：her 次数：73
单词：rosencrantz 次数：70
单词：most 次数：70
单词：now 次数：68
单词：ll 次数：68
单词：well 次数：67
单词：thy 次数：67
单词：go 次数：67
单词：father 次数：66
单词：enter 次数：66
单词：would 次数：66
单词：laertes 次数：65
单词：may 次数：65
单词：was 次数：64
单词：tis 次数：63
单词：know 次数：63
单词：them 次数：62
单词：how 次数：62
单词：love 次数：61
单词：us 次数：60
单词：guildenstern 次数：57
单词：then 次数：57
单词：t 次数：56
单词：must 次数：54
单词：hath 次数：53
单词：where 次数：53
单词：did 次数：52
单词：speak 次数：51
单词：very 次数：50
单词：which 次数：48
单词：make 次数：47
单词：give 次数：47
单词：say 次数：47
单词：an 次数：47
单词：some 次数：47
单词：out 次数：47
单词：man 次数：47
单词：marcellus 次数：46
单词：upon 次数：46
单词：thee 次数：45
单词：much 次数：45
单词：than 次数：45
单词：should 次数：45
单词：their 次数：45
单词：she 次数：44
单词：first 次数：43
单词：night 次数：43
单词：too 次数：43
单词：when 次数：42
单词：such 次数：42
单词：mother 次数：41
单词：am 次数：41
单词：think 次数：41
单词：why 次数：41
单词：sir 次数：41
单词：these 次数：41
单词：heaven 次数：40
单词：And 次数：39
单词：one 次数：39
单词：HAMLET 次数：38
单词：time 次数：38
单词：who 次数：37
单词：look 次数：37
单词：see 次数：37
单词：here 次数：37
单词：exit 次数：36
单词：thus 次数：36
单词：nor 次数：35
单词：had 次数：34
单词：exeunt 次数：34
单词：ay 次数：33
单词：ghost 次数：32
单词：I 次数：32
单词：tell 次数：32
单词：up 次数：32
单词：own 次数：31
单词：can 次数：31
单词：death 次数：31
单词：god 次数：30
单词：yet 次数：30
单词：play 次数：30
单词：soul 次数：30
单词：bernardo 次数：29
单词：clown 次数：28
单词：hear 次数：28
单词：take 次数：28
单词：down 次数：28
单词：life 次数：28
单词：heart 次数：27
单词：pray 次数：27
单词：dear 次数：27
单词：leave 次数：27
单词：indeed 次数：27
单词：again 次数：26
单词：nothing 次数：26
单词：made 次数：26
单词：cannot 次数：25
单词：within 次数：25
单词：could 次数：25
单词：doth 次数：24
单词：nature 次数：24
单词：were 次数：24
单词：two 次数：23
单词：second 次数：23
单词：scene 次数：23
单词：thing 次数：23
单词：hold 次数：23
单词：eyes 次数：23
单词：mine 次数：23
单词：whose 次数：23
单词：er 次数：23
单词：itself 次数：23
单词：into 次数：23
单词：both 次数：23
单词：players 次数：22
单词：true 次数：22
单词：though 次数：22
单词：show 次数：22
单词：player 次数：21
单词：nay 次数：21
单词：part 次数：21
单词：dead 次数：21
单词：might 次数：21
单词：even 次数：21
单词：been 次数：21
单词：never 次数：21
单词：matter 次数：21
单词：denmark 次数：20
单词：son 次数：20
单词：seen 次数：20
单词：fear 次数：20
单词：world 次数：20
单词：those 次数：20
单词：sweet 次数：20
单词：means 次数：20
单词：call 次数：20
单词：ACT 次数：19
单词：That 次数：19
单词：against 次数：19
单词：comes 次数：19
单词：day 次数：19
单词：blood 次数：19
单词：still 次数：19
单词：old 次数：19
单词：words 次数：19
单词：reynaldo 次数：18
单词：before 次数：18
单词：head 次数：18
单词：little 次数：18
单词：great 次数：18
单词：poor 次数：18
单词：madness 次数：18
单词：friends 次数：17
单词：fair 次数：17
单词：does 次数：17
单词：follow 次数：17
单词：ear 次数：17
单词：set 次数：17
单词：without 次数：17
单词：end 次数：17
单词：daughter 次数：16
单词：welcome 次数：16
单词：art 次数：16
单词：believe 次数：16
单词：any 次数：16
单词：done 次数：16
单词：thoughts 次数：16
单词：body 次数：16
单词：put 次数：16
单词：makes 次数：16
单词：sword 次数：16
单词：fortinbras 次数：15
单词：watch 次数：15
单词：question 次数：15
单词：find 次数：15
单词：youth 次数：15
单词：keep 次数：15
单词：said 次数：15
单词：marry 次数：15
单词：speech 次数：15
单词：gentleman 次数：14
单词：other 次数：14
单词：yourself 次数：14
单词：farewell 次数：14
单词：once 次数：14
单词：hast 次数：14
单词：brother 次数：14
单词：better 次数：14
单词：away 次数：14
单词：else 次数：14
单词：himself 次数：14
单词：friend 次数：13
单词：live 次数：13
单词：bed 次数：13
单词：off 次数：13
单词：mark 次数：13
单词：gone 次数：13
单词：something 次数：13
单词：state 次数：13
单词：goes 次数：13
单词：young 次数：13
单词：hand 次数：13
单词：The 次数：13
单词：mind 次数：13
单词：eye 次数：13
单词：earth 次数：13
单词：use 次数：13
单词：grace 次数：13
单词：air 次数：13
单词：about 次数：13
单词：heard 次数：13
单词：long 次数：13
单词：room 次数：13
单词：bear 次数：13
单词：ourselves 次数：13
单词：noble 次数：13
单词：tongue 次数：13
单词：saw 次数：13
单词：act 次数：13
单词：word 次数：13
单词：virtue 次数：13
单词：many 次数：13
单词：fortune 次数：13
单词：murder 次数：13
单词：mad 次数：13
单词：cause 次数：13
单词：lady 次数：13
单词：sings 次数：13
单词：castle 次数：12
单词：answer 次数：12
单词：haste 次数：12
单词：form 次数：12
单词：majesty 次数：12
单词：As 次数：12
单词：ever 次数：12
单词：duty 次数：12
单词：grief 次数：12
单词：reason 次数：12
单词：sense 次数：12
单词：hands 次数：12
单词：none 次数：12
单词：honour 次数：12
单词：men 次数：12
单词：bring 次数：12
单词：after 次数：12
单词：francisco 次数：11
单词：norway 次数：11
单词：honest 次数：11
单词：myself 次数：11
单词：thought 次数：11
单词：together 次数：11
单词：re 次数：11
单词：stay 次数：11
单词：oft 次数：11
单词：being 次数：11
单词：spirit 次数：11
单词：therefore 次数：11
单词：purpose 次数：11
单词：doubt 次数：11
单词：seem 次数：11
单词：name 次数：11
单词：foul 次数：11
单词：sleep 次数：11
单词：please 次数：11
单词：between 次数：11
单词：another 次数：11
单词：sent 次数：11
单词：swear 次数：11
单词：passion 次数：11
单词：gentlemen 次数：10
单词：grave 次数：10
单词：captain 次数：10
单词：stand 次数：10
单词：has 次数：10
单词：last 次数：10
单词：fire 次数：10
单词：business 次数：10
单词：uncle 次数：10
单词：further 次数：10
单词：best 次数：10
单词：alone 次数：10
单词：till 次数：10
单词：face 次数：10
单词：remember 次数：10
单词：faith 次数：10
单词：each 次数：10
单词：while 次数：10
单词：hell 次数：10
单词：way 次数：10
单词：given 次数：10
单词：fit 次数：10
单词：revenge 次数：10
单词：offence 次数：10
单词：help 次数：10
单词：rest 次数：10
单词：husband 次数：10
单词：drown 次数：10
单词：late 次数：9
单词：voltimand 次数：9
单词：thanks 次数：9
单词：place 次数：9
单词：ears 次数：9
单词：same 次数：9
单词：st 次数：9
单词：work 次数：9
单词：full 次数：9
单词：lost 次数：9
单词：ere 次数：9
单词：almost 次数：9
单词：voice 次数：9
单词：walk 次数：9
单词：takes 次数：9
单词：far 次数：9
单词：twere 次数：9
单词：things 次数：9
单词：news 次数：9
单词：aside 次数：9
单词：kind 次数：9
单词：madam 次数：9
单词：wind 次数：9
单词：every 次数：9
单词：free 次数：9
单词：mean 次数：9
单词：custom 次数：9
单词：action 次数：9
单词：lord! 次数：9
单词：thousand 次数：9
单词：pyrrhus 次数：9
单词：england 次数：9
单词：get 次数：8
单词：says 次数：8
单词：break 次数：8
单词：looks 次数：8
单词：strange 次数：8
单词：particular 次数：8
单词：law 次数：8
单词：return 次数：8
单词：sun 次数：8
单词：wherein 次数：8
单词：power 次数：8
单词：memory 次数：8
单词：To 次数：8
单词：joy 次数：8
单词：thine 次数：8
单词：black 次数：8
单词：For 次数：8
单词：excellent 次数：8
单词：tears 次数：8
单词：deed 次数：8
单词：But 次数：8
单词：judgment 次数：8
单词：phrase 次数：8
单词：light 次数：8
单词：command 次数：8
单词：alas 次数：8
单词：aught 次数：8
单词：villain 次数：8
单词：sure 次数：8
单词：right 次数：8
单词：turn 次数：8
单词：behind 次数：8
单词：dost 次数：8
单词：cornelius 次数：7
单词：attendants 次数：7
单词：sit 次数：7
单词：awhile 次数：7
单词：charge 次数：7
单词：away! 次数：7
单词：pale 次数：7
单词：seal 次数：7
单词：fell 次数：7
单词：en 次数：7
单词：through 次数：7
单词：whether 次数：7
单词：wholesome 次数：7
单词：loves 次数：7
单词：whole 次数：7
单词：seek 次数：7
单词：common 次数：7
单词：truly 次数：7
单词：desire 次数：7
单词：rank 次数：7
单词：fellow 次数：7
单词：top 次数：7
单词：fashion 次数：7
单词：grow 次数：7
单词：near 次数：7
单词：neither 次数：7
单词：since 次数：7
单词：general 次数：7
单词：draw 次数：7
单词：O 次数：7
单词：wit 次数：7
单词：ha 次数：7
单词：hither 次数：7
单词：lay 次数：7
单词：arms 次数：7
单词：lack 次数：7
单词：falls 次数：7
单词：age 次数：7
单词：hope 次数：7
单词：gave 次数：7
单词：fall 次数：7
单词：devil 次数：7
单词：noise 次数：7
单词：kill 次数：7
单词：letters 次数：7
单词：IV 次数：7
单词：prince 次数：6
单词：soldiers 次数：6
单词：messenger 次数：6
单词：elsinore 次数：6
单词：hour 次数：6
单词：meet 次数：6
单词：ground 次数：6
单词：piece 次数：6
单词：appear 次数：6
单词：sight 次数：6
单词：peace 次数：6
单词：cast 次数：6
单词：list 次数：6
单词：unto 次数：6
单词：e 次数：6
单词：coming 次数：6
单词：cock 次数：6
单词：guilty 次数：6
单词：sea 次数：6
单词：truth 次数：6
单词：season 次数：6
单词：woe 次数：6
单词：sister 次数：6
单词：marriage 次数：6
单词：wife 次数：6
单词：dream 次数：6
单词：beg 次数：6
单词：came 次数：6
单词：pardon 次数：6
单词：beseech 次数：6
单词：less 次数：6
单词：seems 次数：6
单词：shows 次数：6
单词：obey 次数：6
单词：ah 次数：6
单词：discourse 次数：6
单词：forth 次数：6
单词：arm 次数：6
单词：beard 次数：6
单词：fare 次数：6
单词：house 次数：6
单词：service 次数：6
单词：withal 次数：6
单词：choice 次数：6
单词：wisdom 次数：6
单词：maid 次数：6
单词：enough 次数：6
单词：beauty 次数：6
单词：lies 次数：6
单词：dull 次数：6
单词：false 次数：6
单词：understand 次数：6
单词：fool 次数：6
单词：vows 次数：6
单词：heavy 次数：6
单词：shape 次数：6
单词：wilt 次数：6
单词：When 次数：6
单词：prison 次数：6
单词：ho 次数：6
单词：needs 次数：6
单词：mercy 次数：6
单词：times 次数：6
单词：move 次数：6
单词：whom 次数：6
单词：gives 次数：6
单词：thank 次数：6
单词：herself 次数：6
单词：try 次数：6
单词：How 次数：6
单词：either 次数：6
单词：bad 次数：6
单词：ambition 次数：6
单词：others 次数：6
单词：proof 次数：6
单词：now! 次数：6
单词：feed 次数：6
单词：nephew 次数：5
单词：servant 次数：5
单词：platform 次数：5
单词：sick 次数：5
单词：bid 次数：5
单词：ho! 次数：5
单词：star 次数：5
单词：course 次数：5
单词：figure 次数：5
单词：In 次数：5
单词：speak! 次数：5
单词：toward 次数：5
单词：known 次数：5
单词：stood 次数：5
单词：stands 次数：5
单词：prologue 次数：5
单词：sound 次数：5
单词：spirits 次数：5
单词：gracious 次数：5
单词：dumb 次数：5
单词：morning 次数：5
单词：writ 次数：5
单词：told 次数：5
单词：wouldst 次数：5
单词：dread 次数：5
单词：hard 次数：5
单词：colour 次数：5
单词：die 次数：5
单词：breath 次数：5
单词：visage 次数：5
单词：bound 次数：5
单词：fault 次数：5
单词：note 次数：5
单词：back 次数：5
单词：lose 次数：5
单词：grows 次数：5
单词：visit 次数：5
单词：beast 次数：5
单词：wicked 次数：5
单词：disposition 次数：5
单词：drink 次数：5
单词：point 次数：5
单词：It 次数：5
单词：yes 次数：5
单词：countenance 次数：5
单词：perchance 次数：5
单词：safety 次数：5
单词：danger 次数：5
单词：moon 次数：5
单词：effect 次数：5
单词：blessing 次数：5
单词：circumstance 次数：5
单词：keeps 次数：5
单词：choose 次数：5
单词：damn 次数：5
单词：brain 次数：5
单词：beneath 次数：5
单词：desperate 次数：5
单词：shalt 次数：5
单词：days 次数：5
单词：fat 次数：5
单词：crown 次数：5
单词：gifts 次数：5
单词：natural 次数：5
单词：brief 次数：5
单词：vile 次数：5
单词：damned 次数：5
单词：touch 次数：5
单词：liberty 次数：5
单词：mass 次数：5
单词：music 次数：5
单词：ophelia! 次数：5
单词：closet 次数：5
单词：took 次数：5
单词：brought 次数：5
单词：receive 次数：5
单词：fine 次数：5
单词：rather 次数：5
单词：reads 次数：5
单词：ill 次数：5
单词：round 次数：5
单词：arras 次数：5
单词：honesty 次数：5
单词：save 次数：5
单词：laugh 次数：5
单词：themselves 次数：5
单词：only 次数：5
单词：loved 次数：5
单词：fly 次数：5
单词：priam 次数：5
单词：begin 次数：5
单词：anon 次数：5
单词：slave 次数：5
单词：bloody 次数：5
单词：bestow 次数：5
单词：nunnery 次数：5
单词：christian 次数：5
单词：poison 次数：5
单词：door 次数：5
单词：hamlet! 次数：5
单词：lucianus 次数：4
单词：officers 次数：4
单词：ladies 次数：4
单词：sailors 次数：4
单词：struck 次数：4
单词：twelve 次数：4
单词：cold 次数：4
单词：twice 次数：4
单词：march 次数：4
单词：thyself 次数：4
单词：hot 次数：4
单词：strong 次数：4
单词：terms 次数：4
单词：main 次数：4
单词：motive 次数：4
单词：country 次数：4
单词：Or 次数：4
单词：treasure 次数：4
单词：herein 次数：4
单词：gainst 次数：4
单词：birth 次数：4
单词：stir 次数：4
单词：impart 次数：4
单词：ii 次数：4
单词：kingdom 次数：4
单词：brow 次数：4
单词：discretion 次数：4
单词：sorrow 次数：4
单词：remembrance 次数：4
单词：funeral 次数：4
单词：affair 次数：4
单词：follows 次数：4
单词：thinking 次数：4
单词：frame 次数：4
单词：native 次数：4
单词：confess 次数：4
单词：My 次数：4
单词：clouds 次数：4
单词：hang 次数：4
单词：lives 次数：4
单词：wittenberg 次数：4
单词：This 次数：4
单词：gentle 次数：4
单词：sits 次数：4
单词：health 次数：4
单词：flesh 次数：4
单词：god! 次数：4
单词：months 次数：4
单词：month 次数：4
单词：longer 次数：4
单词：speed 次数：4
单词：glad 次数：4
单词：report 次数：4
单词：teach 次数：4
单词：thrift 次数：4
单词：methinks 次数：4
单词：thrice 次数：4
单词：whilst 次数：4
单词：knew 次数：4
单词：motion 次数：4
单词：warrant 次数：4
单词：assume 次数：4
单词：wide 次数：4
单词：perhaps 次数：4
单词：double 次数：4
单词：occasion 次数：4
单词：thee! 次数：4
单词：censure 次数：4
单词：express 次数：4
单词：above 次数：4
单词：humbly 次数：4
单词：tend 次数：4
单词：pay 次数：4
单词：tender 次数：4
单词：heat 次数：4
单词：making 次数：4
